Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
125,MildDemented,SCN-01: Grad-CAM,0.4138859940692783,0.8258828012272715,0.8646464347839355,0.6194378698224852,0.6911604404449463
125,MildDemented,SCN-02: LIME (n=100),0.3458077203482389,0.413833134714514,0.898611143292387,0.030355029585798818,9.836312294006348
125,MildDemented,SCN-02: LIME (n=500),0.6319759832695128,0.3231776537373661,0.935487328462851,0.07920118343195266,4.400605916976929
125,MildDemented,SCN-02: LIME (n=2000),0.6443161873146893,0.28373309355229137,0.933923605424427,0.09409763313609468,19.157092332839966
125,MildDemented,SCN-03: SHAP (e=100),0.7705439953133465,0.7330141184851527,0.8173342989558359,0.28076923076923077,34.37451767921448
125,MildDemented,SCN-03: SHAP (e=500),0.7042204422876239,0.3746889704838395,0.9604791330813002,0.03480769230769231,3.578341484069824
125,MildDemented,SCN-03: SHAP (e=2000),0.3846784751862288,0.5037005318328737,0.9431716611151982,0.011479289940828403,16.16316533088684
651,MildDemented,SCN-01: Grad-CAM,0.3164972548838705,0.5189127305522561,0.9451525211334229,0.8251183431952662,0.03468751907348633
651,MildDemented,SCN-02: LIME (n=100),0.23687239792197942,0.14563728375360369,0.8562351974102324,0.0665828402366864,0.9707798957824707
651,MildDemented,SCN-02: LIME (n=500),0.5922733215615154,0.42296468485146765,0.9090885626762515,0.012026627218934912,4.4376842975616455
651,MildDemented,SCN-02: LIME (n=2000),0.6428383259102702,0.2690396593883634,0.9133074995965795,0.012026627218934912,19.060798168182373
651,MildDemented,SCN-03: SHAP (e=100),0.6359144566580652,0.477125402353704,0.904963249476441,0.25,0.7248926162719727
651,MildDemented,SCN-03: SHAP (e=500),0.28407885752967554,0.36182414467912166,0.8935782170963511,0.08263313609467456,3.0587873458862305
651,MildDemented,SCN-03: SHAP (e=2000),0.3200409739743919,0.4713715730234981,0.8338260522466597,0.00378698224852071,13.016680479049683
460,MildDemented,SCN-01: Grad-CAM,0.0917724112048745,0.3864157828502357,0.9244037866592407,0.6547781065088757,0.04518294334411621
460,MildDemented,SCN-02: LIME (n=100),0.1795415775850415,0.0684722993057221,0.9172903670503706,0.052366863905325446,1.3940353393554688
