Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
127,MildDemented,SCN-01: Grad-CAM,0.19385499149793756,0.9634088441729546,0.8584018349647522,0.7772640306122449,0.04983878135681152
127,MildDemented,SCN-02: LIME (n=100),0.5600156266702065,0.645080621202942,0.8878458537643905,0.17956792091836735,3.1108648777008057
127,MildDemented,SCN-02: LIME (n=500),0.560105990138129,0.844110791105777,0.929332226497215,0.11918048469387756,8.535316228866577
127,MildDemented,SCN-02: LIME (n=2000),0.40820702574395396,0.9025507256388665,0.9282433740449361,0.09378985969387756,32.18831658363342
127,MildDemented,SCN-03: SHAP (e=100),0.37145157214254143,0.9486918851733207,0.9684129272077097,0.0625,1.487112045288086
127,MildDemented,SCN-03: SHAP (e=500),0.3693916245480069,0.9356980249285698,0.9617009528285788,0.0625,6.849889755249023
127,MildDemented,SCN-03: SHAP (e=2000),0.1177666932238253,0.9154914543032645,0.9696537666518623,0.0390625,28.47726535797119
406,MildDemented,SCN-01: Grad-CAM,0.15649925379629917,0.5875580055639148,0.8675380349159241,0.4893773915816326,0.02970290184020996
406,MildDemented,SCN-02: LIME (n=100),0.05794748599666044,0.07885683112971983,0.8837886316825302,0.10373485331632654,1.9735074043273926
406,MildDemented,SCN-02: LIME (n=500),0.07633554745619568,0.13270675628652173,0.9281927699604116,0.04976482780612245,7.899914503097534
406,MildDemented,SCN-02: LIME (n=2000),0.05694464935269865,0.05695477998460204,0.8756998814347778,0.04976482780612245,31.866225957870483
406,MildDemented,SCN-03: SHAP (e=100),0.2571061365435526,0.30432264656756164,0.853381490375592,0.21875,1.5496470928192139
406,MildDemented,SCN-03: SHAP (e=500),0.12048156259879761,0.48639586139470337,0.7994134727097086,0.21875,6.933253049850464
406,MildDemented,SCN-03: SHAP (e=2000),0.17216359326841937,0.4219760917127132,0.8109786015936605,0.09375,28.479854583740234
711,MildDemented,SCN-01: Grad-CAM,0.24246996507602092,0.13605859945827203,0.9401576519012451,0.7439014668367347,0.027696847915649414
711,MildDemented,SCN-02: LIME (n=100),0.041892406653037284,0.03966947132457398,0.9070501518434162,0.24298469387755103,1.9978244304656982
711,MildDemented,SCN-02: LIME (n=500),0.04487957229154514,0.04009335690858083,0.9258078886133593,0.2666812818877551,7.966879844665527
