Index,Kelas,Skenario,Deletion (↓),Insertion (↑),Robustness (↑),Sparsity (↑),Cost (Sec) (↓)
122,MildDemented,SCN-01: Grad-CAM,0.4652569979429245,0.5243881992995738,0.9302652478218079,0.8223652742346939,0.6385009288787842
122,MildDemented,SCN-02: LIME (n=100),0.07286197315079335,0.14204077731992582,0.9161059518684221,0.06206154336734694,1.9284710884094238
122,MildDemented,SCN-02: LIME (n=500),0.06571924055118074,0.16220599244288675,0.9537811088434198,0.05602279974489796,8.11185097694397
122,MildDemented,SCN-02: LIME (n=2000),0.0654704132628634,0.07981415602898778,0.9071317625850124,0.08633609693877552,16.914963960647583
122,MildDemented,SCN-03: SHAP (e=100),0.4697689149994404,0.4707200273871422,0.8400326818728562,0.03125,2.517686367034912
122,MildDemented,SCN-03: SHAP (e=500),0.2358209712896496,0.4707317240536213,0.8283371153828599,0.0390625,3.2722294330596924
122,MildDemented,SCN-03: SHAP (e=2000),0.21825557066476903,0.18472868067037776,0.698706401243679,0.001953125,12.74384593963623
1079,MildDemented,SCN-01: Grad-CAM,0.43535474762320525,0.5747786626219749,0.9308924078941345,0.8245176977040817,0.01732611656188965
1079,MildDemented,SCN-02: LIME (n=100),0.11031080087996087,0.06057462213975667,0.8754498112005773,0.027543048469387755,1.1956326961517334
1079,MildDemented,SCN-02: LIME (n=500),0.39676825106143954,0.0468661330340069,0.8713141898833241,0.01953125,4.405008554458618
1079,MildDemented,SCN-02: LIME (n=2000),0.5591733619570731,0.04623956258401449,0.869838133018221,0.036631058673469385,16.43194055557251
1079,MildDemented,SCN-03: SHAP (e=100),0.1568389178835787,0.8507479086518287,0.8790738169845231,0.03125,0.8202335834503174
1079,MildDemented,SCN-03: SHAP (e=500),0.06953450836590491,0.60952158421278,0.9450815368497302,0.0625,3.0948681831359863
1079,MildDemented,SCN-03: SHAP (e=2000),0.09995908387936653,0.6060004726052285,0.9582656144872118,0.0546875,12.171347618103027
332,MildDemented,SCN-01: Grad-CAM,0.3957802862860263,0.8165099792182445,0.9726303219795227,0.8970822704081632,0.017657756805419922
332,MildDemented,SCN-02: LIME (n=100),0.932456723600626,0.9466116167604923,0.8809471845524974,0.018215880102040817,0.9042086601257324
332,MildDemented,SCN-02: LIME (n=500),0.9356482960283755,0.9554973758757114,0.8890882711812177,0.018215880102040817,4.021519422531128
